rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8.2	0	Approved	0	[<Person: u'Pierre Boulle' (u'nm0099541')>]	1957	tt0050212	0	153160	[<Person: u'David Lean' (u'nm0000180')>]	[<Person: u'William Holden' (u'nm0000034')>, <Person: u'Alec Guinness' (u'nm0000027')>, <Person: u'Jack Hawkins' (u'nm0370144')>, <Person: u'Sessue Hayakawa' (u'nm0370564')>]	The Bridge on the River Kwai	0	0	0	0	0	feature	1	0	1	5	0	0	[]	1	1	0	9660	0
8	0	R	0	[<Person: u'Richard Linklater' (u'nm0000500')>, <Person: u'Julie Delpy' (u'nm0000365')>]	2004	tt0381681	0	171953	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Ethan Hawke' (u'nm0000160')>, <Person: u'Julie Delpy' (u'nm0000365')>, <Person: u'Vernon Dobtcheff' (u'nm0229943')>, <Person: u'Louise Lemoine Torr\xe8s' (u'nm1566537')>]	Before Sunset	0	0	1	0	0	feature	0	0	0	15	0	0	[]	1	0	0	4800	0
8.1	0	PG-13	0	[<Person: u'Hirokazu Koreeda' (u'nm0466153')>]	2004	tt0408664	0	17577	[<Person: u'Hirokazu Koreeda' (u'nm0466153')>]	[<Person: u'Y\xfbya Yagira' (u'nm1625874')>, <Person: u'Ayu Kitaura' (u'nm1626086')>, <Person: u'Hiei Kimura' (u'nm1625521')>, <Person: u'Momoko Shimizu' (u'nm1626241')>]	Nobody Knows	0	0	0	0	0	feature	0	0	0	4	0	0	[]	1	0	0	8460	0
7.1	0	R	0	[<Person: u'Philip K. Dick' (u'nm0001140')>, <Person: u'Richard Linklater' (u'nm0000500')>]	2006	tt0405296	0	90665	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Keanu Reeves' (u'nm0000206')>, <Person: u'Winona Ryder' (u'nm0000213')>, <Person: u'Robert Downey Jr.' (u'nm0000375')>, <Person: u'Rory Cochrane' (u'nm0168262')>]	A Scanner Darkly	1	0	0	0	0	feature	0	0	0	5	1	1	[]	1	0	0	6000	0
7.7	0	Not Rated	0	[<Person: u'Jean-Luc Godard' (u'nm0000419')>]	1965	tt0059592	0	19946	[<Person: u'Jean-Luc Godard' (u'nm0000419')>]	[<Person: u'Jean-Paul Belmondo' (u'nm0000901')>, <Person: u'Anna Karina' (u'nm0439344')>, <Person: u'Graziella Galvani' (u'nm0303413')>, <Person: u'Aicha Abadir' (u'nm0007631')>]	Pierrot le Fou	0	1	1	0	0	feature	0	0	0	5	0	0	[]	1	0	0	6600	0
7.1	0	R	0	[<Person: u'Lars von Trier' (u'nm0001885')>]	2011	tt1527186	0	131742	[<Person: u'Lars von Trier' (u'nm0001885')>]	[<Person: u'Kirsten Dunst' (u'nm0000379')>, <Person: u'Charlotte Gainsbourg' (u'nm0001250')>, <Person: u'Kiefer Sutherland' (u'nm0000662')>, <Person: u'Alexander Skarsg\xe5rd' (u'nm0002907')>]	Melancholia	0	0	0	0	0	feature	0	0	0	20	0	0	[]	1	0	0	8100	0
7.5	0	R	0	[<Person: u'Giuseppe Tornatore' (u'nm0868153')>, <Person: u'Luciano Vincenzoni' (u'nm0898812')>]	2000	tt0213847	0	67501	[<Person: u'Giuseppe Tornatore' (u'nm0868153')>]	[<Person: u'Monica Bellucci' (u'nm0000899')>, <Person: u'Giuseppe Sulfaro' (u'nm0837868')>, <Person: u'Luciano Federico' (u'nm0270119')>, <Person: u'Matilde Piana' (u'nm0681218')>]	Malèna	0	0	1	0	1	feature	1	0	0	6	0	0	[]	1	1	0	5520	0
8.1	0	PG	0	[<Person: u'John Briley' (u'nm0109300')>]	1982	tt0083987	1	175477	[<Person: u'Richard Attenborough' (u'nm0000277')>]	[<Person: u'Ben Kingsley' (u'nm0001426')>, <Person: u'John Gielgud' (u'nm0000024')>, <Person: u'Candice Bergen' (u'nm0000298')>, <Person: u'Edward Fox' (u'nm0002081')>]	Gandhi	0	0	0	0	0	feature	0	0	0	6	0	0	[]	1	1	0	11460	0
7.6	0	PG-13	0	[<Person: u'Alejandro Amen\xe1bar' (u'nm0024622')>]	2001	tt0230600	0	273748	[<Person: u'Alejandro Amen\xe1bar' (u'nm0024622')>]	[<Person: u'Nicole Kidman' (u'nm0000173')>, <Person: u'Christopher Eccleston' (u'nm0001172')>, <Person: u'Fionnula Flanagan' (u'nm0001217')>, <Person: u'Alakina Mann' (u'nm0542635')>]	The Others	0	0	0	0	0	feature	0	1	0	5	1	0	[]	0	0	0	6240	0
8.1	0	Unrated	0	[<Person: u'Erich Maria Remarque' (u'nm0718871')>, <Person: u'Maxwell Anderson' (u'nm0027173')>]	1930	tt0020629	0	47544	[<Person: u'Lewis Milestone' (u'nm0587277')>]	[<Person: u'Lew Ayres' (u'nm0000817')>, <Person: u'Louis Wolheim' (u'nm0938464')>, <Person: u'John Wray' (u'nm0942046')>, <Person: u'Arnold Lucy' (u'nm0524803')>]	All Quiet on the Western Front	0	0	0	0	0	feature	1	0	0	5	0	0	[]	1	0	0	7980	0
