,title,freq
0,tt0484562,1
1,tt0301199,1
2,tt0050212,3
3,tt0381681,11
4,tt2048688,1
5,tt0443536,2
6,tt0472160,1
7,tt0209475,5
8,tt0805570,1
9,tt0308644,12
10,tt0871426,3
11,tt0282687,1
12,tt0100258,1
13,tt1837709,1
14,tt1810574,1
15,tt0357413,18
16,tt0164912,4
17,tt1185416,6
18,tt0408345,2
19,tt0283534,1
20,tt0442933,3
21,tt0772176,2
22,tt0482461,1
23,tt1045658,27
24,tt0414993,3
25,tt1971325,1
26,tt2327430,1
27,tt0347149,11
28,tt1142977,4
29,tt4226388,1
30,tt1295085,1
31,tt0368578,4
32,tt0185125,5
33,tt0055487,1
34,tt0420294,2
35,tt0419887,3
36,tt0107840,1
37,tt1054677,1
38,tt1487118,2
39,tt0119167,1
40,tt0119164,1
41,tt0387898,1
42,tt0097216,2
43,tt1567609,2
44,tt0405296,2
45,tt0427229,4
46,tt0322589,2
47,tt0081398,3
48,tt0081383,1
49,tt0126840,1
50,tt2190367,1
51,tt0088993,1
52,tt0450892,1
53,tt2357291,5
54,tt0408236,20
55,tt1840417,2
56,tt0337692,1
57,tt0476735,1
58,tt0337697,6
59,tt0119395,2
60,tt0102526,1
61,tt0990407,7
62,tt3544112,1
63,tt0381849,10
64,tt0432348,5
65,tt0065134,1
66,tt0092563,2
67,tt0465494,1
68,tt0369179,1
69,tt1921064,3
70,tt0492956,2
71,tt1197628,1
72,tt0450278,2
73,tt0071431,1
74,tt1018785,1
75,tt0252444,1
76,tt0398286,14
77,tt1860353,2
78,tt1152758,2
79,tt0349878,1
80,tt0115641,1
81,tt0446125,1
82,tt0277371,5
83,tt0115645,1
84,tt2094052,1
85,tt0206588,1
86,tt2381249,5
87,tt2967224,2
88,tt1213663,2
89,tt0112442,16
90,tt0109676,1
91,tt1666186,1
92,tt0044008,1
93,tt1424746,1
94,tt0095989,1
95,tt0185371,1
96,tt0452702,1
97,tt0115798,2
98,tt0076786,2
99,tt1263778,1
100,tt0095250,1
101,tt0116905,1
102,tt2948356,3
103,tt0938283,2
104,tt0409847,5
105,tt0063350,4
106,tt0993842,4
107,tt0274497,1
108,tt1240899,1
109,tt0237456,1
110,tt2119532,3
111,tt0113497,11
112,tt1253863,10
113,tt1646971,6
114,tt0071230,1
115,tt0125664,1
116,tt0318034,1
117,tt0080120,1
118,tt1391034,3
119,tt0421729,7
120,tt1188729,3
121,tt0104409,1
122,tt0098904,1
123,tt1438254,7
124,tt0499556,3
125,tt0213847,3
126,tt1591479,6
127,tt0093010,2
128,tt1392214,12
129,tt2402085,1
130,tt0089155,1
131,tt0104952,1
132,tt0052357,6
133,tt0480242,4
134,tt0335345,1
135,tt2183034,1
136,tt1389137,9
137,tt0108308,1
138,tt0800027,1
139,tt0480249,22
140,tt0486358,1
141,tt0104797,1
142,tt0446013,1
143,tt3148834,1
144,tt1448755,2
145,tt1928340,1
146,tt2692250,1
147,tt1637688,17
148,tt0866439,3
149,tt0164184,2
150,tt0108071,2
151,tt1704614,1
152,tt3187076,1
153,tt3612616,1
154,tt2235108,1
155,tt0369918,1
156,tt0056869,3
157,tt0083987,3
158,tt0404364,1
159,tt0791304,3
160,tt1178663,2
161,tt0122725,1
162,tt0087469,10
163,tt0261983,1
164,tt0106056,2
165,tt0230600,17
166,tt1419500,1
167,tt1945084,1
168,tt0326856,1
169,tt1349482,2
170,tt0349903,17
171,tt1876547,1
172,tt3783958,1
173,tt0363547,4
174,tt0105046,1
175,tt0358135,7
176,tt0061852,5
177,tt1691917,3
178,tt0810819,4
179,tt0817177,8
180,tt0479519,1
181,tt0359950,6
182,tt1726592,3
183,tt0099871,3
184,tt0132477,4
185,tt0120844,3
186,tt0308383,1
187,tt0119994,1
188,tt0364725,11
189,tt2170593,1
190,tt0294357,1
191,tt0371606,3
192,tt2547584,2
193,tt1078588,12
194,tt2245003,1
195,tt1403177,1
196,tt3204392,1
197,tt0069704,2
198,tt0968264,1
199,tt1226229,6
200,tt0092593,1
201,tt0880648,2
202,tt1878870,1
203,tt2561572,2
204,tt0470055,1
205,tt2076220,1
206,tt2243537,2
207,tt1616195,4
208,tt1614950,2
209,tt1343092,23
210,tt0083767,1
211,tt1322269,2
212,tt0804497,10
213,tt0099700,1
214,tt2310332,9
215,tt0486822,7
216,tt1465487,2
217,tt0421994,2
218,tt0107007,1
219,tt3170832,11
220,tt1554966,1
221,tt0113303,1
222,tt0435625,3
223,tt0088286,1
224,tt0450385,17
225,tt0844471,8
226,tt0204313,3
227,tt0118558,1
228,tt1588173,8
229,tt1334328,1
230,tt0297162,1
231,tt2848292,2
232,tt1038988,7
233,tt0480025,2
234,tt0085346,1
235,tt0080453,4
236,tt1222698,1
237,tt0012349,1
238,tt1055366,8
239,tt0080455,3
240,tt2582846,18
241,tt0109303,2
242,tt1690953,9
243,tt0416449,25
244,tt1815862,4
245,tt0375611,2
246,tt0365686,6
247,tt0851430,1
248,tt0165982,1
249,tt0120716,1
250,tt0106308,1
251,tt0371552,2
252,tt0061747,1
253,tt0307453,6
254,tt0080274,1
255,tt1083845,3
256,tt1583421,4
257,tt0961108,1
258,tt0835418,1
259,tt0057007,1
260,tt1408253,2
261,tt2363181,1
262,tt1756415,1
263,tt0065126,3
264,tt0127536,3
265,tt0302297,1
266,tt4257926,1
267,tt1397514,4
268,tt0207201,12
269,tt0117407,2
270,tt2388715,2
271,tt0077651,6
272,tt0087884,1
273,tt1533013,1
274,tt0489664,1
275,tt1143896,1
276,tt2534634,1
277,tt2967006,1
278,tt0785035,2
279,tt1490017,6
280,tt1791658,1
281,tt0017136,3
282,tt0290002,15
283,tt0111161,53
284,tt0120623,14
285,tt2465146,1
286,tt0036098,1
287,tt2005153,2
288,tt2554274,3
289,tt2005151,1
290,tt1411697,25
291,tt0337876,2
292,tt0117628,2
293,tt0264464,30
294,tt0084602,5
295,tt1540128,1
296,tt0144117,5
297,tt0169547,33
298,tt0099180,2
299,tt0455824,19
300,tt1262981,1
301,tt0095742,3
302,tt1041804,1
303,tt1142988,19
304,tt1067774,6
305,tt1740717,1
306,tt0107606,1
307,tt1780794,1
308,tt1655441,2
309,tt0389722,6
310,tt0110167,1
311,tt0384793,9
312,tt1071358,8
313,tt1486834,1
314,tt2103281,4
315,tt0077276,1
316,tt0804228,1
317,tt0107120,6
318,tt1043726,2
319,tt1538403,8
320,tt1579361,2
321,tt1716772,2
322,tt0429573,1
323,tt0101609,1
324,tt0443676,1
325,tt0113419,1
326,tt0090670,1
327,tt0271263,1
328,tt0134084,7
329,tt0107302,1
330,tt0100405,12
331,tt0034182,1
332,tt0100403,4
333,tt1190080,26
334,tt2608732,1
335,tt1673736,1
336,tt0056085,2
337,tt2274570,1
338,tt1935896,1
339,tt0084516,2
340,tt1911644,3
341,tt0068762,1
342,tt0204932,1
343,tt0405422,21
344,tt0049798,1
345,tt0775529,2
346,tt0055928,6
347,tt0092991,2
348,tt1758692,3
349,tt0345591,1
350,tt0947810,5
351,tt0075784,2
352,tt0094721,8
353,tt2326087,1
354,tt0091530,1
355,tt0113305,1
356,tt0187635,1
357,tt0116209,4
358,tt0438052,1
359,tt0486551,1
360,tt0472399,8
361,tt0346156,2
362,tt0361127,2
363,tt0372824,5
364,tt0268978,26
365,tt2084970,14
366,tt0422720,3
367,tt0298130,17
368,tt0119008,7
369,tt0832266,12
370,tt0100050,1
371,tt0248667,6
372,tt1318514,18
373,tt0099528,2
374,tt2277860,4
375,tt0396707,1
376,tt2218003,2
377,tt1109624,1
378,tt1294213,1
379,tt2148935,1
380,tt0283509,2
381,tt1440732,2
382,tt0817228,1
383,tt0105690,1
384,tt3132738,1
385,tt0157246,1
386,tt0230030,3
387,tt0325805,2
388,tt1255953,4
389,tt0068408,2
390,tt0237123,1
391,tt0881891,5
392,tt1230164,1
393,tt2265495,1
394,tt0079116,4
395,tt0225071,2
396,tt0401085,2
397,tt0875034,1
398,tt1032825,1
399,tt1706620,1
400,tt0115491,4
401,tt0119173,2
402,tt0119174,9
403,tt0373074,1
404,tt0332379,14
405,tt0119177,6
406,tt0120157,1
407,tt0363282,1
408,tt1235522,4
409,tt0055254,8
410,tt0477080,3
411,tt0106145,1
412,tt0254872,1
413,tt0254871,1
414,tt0185183,1
415,tt0096446,1
416,tt0066817,1
417,tt5389642,1
418,tt0346932,1
419,tt0975645,3
