title,freq
tt0085101,1
tt1046173,1
tt0381681,11
tt0414993,2
tt0472160,7
tt0209475,7
tt0308644,1
tt0427229,3
tt1214962,1
tt3475734,1
tt0413573,2
tt0455275,1
tt2312890,1
tt0086904,2
tt0144640,1
tt4145304,1
tt0098384,1
tt1185416,5
tt3282858,1
tt1045658,53
tt0269341,1
tt0347149,3
tt1142977,1
tt0419887,1
tt1487118,4
tt0063518,1
tt0119164,1
tt0408664,1
tt2112999,1
tt0405296,2
tt0122541,2
tt2056771,1
tt1840417,3
tt1064932,1
tt0337697,3
tt0052520,1
tt0990407,4
tt3544112,2
tt0381849,1
tt1374992,4
tt1921064,1
tt0492956,2
tt2106739,1
tt1430132,1
tt1018785,4
tt0398286,9
tt1527186,5
tt3034258,1
tt0277371,1
tt1753792,1
tt2381249,2
tt2967224,1
tt1213663,3
tt0276751,3
tt0437405,1
tt0055798,1
tt0076786,1
tt0481046,1
tt2948356,9
tt1860355,1
tt0409847,7
tt2788710,7
tt0993842,8
tt0993846,23
tt0113497,2
tt1253863,1
tt0368774,1
tt1646971,3
tt0049408,1
tt1646974,1
tt0042276,1
tt1438254,4
tt0499556,2
tt0213847,1
tt2304771,1
tt0377260,1
tt1499658,23
tt0480242,11
tt0800027,1
tt0480249,4
tt1262416,3
tt0104797,1
tt1448755,1
tt0118694,2
tt1637688,10
tt0866439,10
tt1555149,1
tt0060424,1
tt0223897,2
tt1848902,2
tt0230600,2
tt1817771,1
tt0102798,1
tt0349903,1
tt3783958,2
tt0363547,1
tt0029947,3
tt0810819,7
tt0359950,10
tt1726592,1
tt0132477,1
tt0056264,1
tt2170593,1
tt0265086,1
tt0265087,1
tt0461770,3
tt0297037,1
tt1403177,1
tt0047281,1
tt0814314,3
tt1226229,1
tt2561572,1
tt2243537,2
tt0423731,1
tt0804492,1
tt1343092,14
tt0804497,10
tt2310332,1
tt0486822,1
tt1465487,1
tt1488594,1
tt3170832,7
tt0435625,1
tt0088286,2
tt0244970,1
tt0039631,1
tt1588173,11
tt1588170,3
tt2848292,6
tt0808151,2
tt2245003,1
tt0080453,1
tt0012349,1
tt0080455,1
tt2582846,22
tt1055369,2
tt0416449,2
tt1815862,1
tt0365686,1
tt2649554,3
tt3754940,1
tt0106305,1
tt0017350,1
tt1583421,1
tt1217613,1
tt0118842,1
tt1729211,2
tt0207201,10
tt0088194,1
tt0059903,1
tt0489664,1
tt1512685,2
tt0390022,1
tt0469021,1
tt1490017,2
tt0944101,1
tt0118789,2
tt0111161,16
tt2554274,1
tt1411697,12
tt0337876,1
tt0264464,14
tt0409072,1
tt1937390,1
tt0398165,3
tt0169547,6
tt1294970,1
tt2770480,1
tt1142988,22
tt1067774,2
tt1808223,1
tt1481572,1
tt0384793,4
tt1071358,2
tt0117247,1
tt0107120,2
tt1538403,2
tt1716772,1
tt0462200,1
tt0108265,1
tt2132486,1
tt0134084,1
tt0242653,3
tt1823672,4
tt1190080,1
tt2287663,1
tt0081534,1
tt1911644,2
tt0405422,13
tt2387559,1
tt1758692,9
tt0947810,1
tt1772264,2
tt0094721,3
tt0116209,3
tt0472399,3
tt0361127,2
tt0268978,8
tt2084970,12
tt0298130,1
tt0119008,1
tt1486185,4
tt1318514,16
tt2277860,2
tt2387433,1
tt0070155,1
tt0829297,1
tt0325805,1
tt1255953,1
tt0079118,1
tt0881891,1
tt1473074,1
tt0079116,1
tt0332375,1
tt0824758,1
tt1634136,3
tt1191111,2
tt0119174,2
tt0332379,3
tt0119177,1
tt0363282,1
tt0055256,1
tt0477080,1
tt1850418,1
tt0342492,1
tt0101757,1
tt3566726,1
tt0975645,1
tt0493430,1
tt0462590,9
tt1454468,4
tt1748179,2
tt0347048,2
tt0129290,4
tt1230385,1
tt1020072,1
tt0800369,15
tt1172991,1
tt1575694,1
tt1327194,13
tt1692486,4
tt0433400,8
tt3659388,16
tt0112453,1
tt0808399,6
tt0266697,6
tt0873886,2
tt0181316,1
tt4636298,1
tt0387131,1
tt1276104,6
tt3813310,2
tt1854236,1
tt0191754,1
tt1198156,2
tt0208196,2
tt1832382,7
tt0758790,1
tt4644382,1
tt0047437,6
tt1327773,1
tt1980929,16
tt2262227,2
tt0286112,1
tt0499549,7
tt1571222,4
tt0194426,1
tt0810900,1
tt1201607,17
tt0356680,2
tt0396269,11
tt0073195,1
tt0204175,1
tt0763831,1
tt0240402,1
tt1457767,2
tt4209256,1
tt1978940,1
tt0108065,1
tt1615065,1
tt2011971,1
tt1931533,7
tt1932718,3
tt0105236,8
tt0362227,7
tt1187064,1
tt0401445,2
tt3183660,2
tt1828995,1
tt4044364,1
tt3076658,3
tt0034583,7
tt2488496,6
tt0435705,2
tt2555736,1
tt0845046,1
tt0102492,1
tt0080516,1
tt0481499,1
tt0109424,1
tt1878841,2
tt0137523,17
tt4548332,1
tt2193021,2
tt1939659,2
tt3449292,1
tt2637276,2
tt0305711,3
tt0120890,1
tt1741542,1
tt1807165,1
tt2125435,1
tt1515091,13
tt0945513,22
tt0139654,3
tt0898367,1
tt1781769,3
tt0151738,2
tt0279079,1
tt1862079,5
tt1386697,2
tt0200465,1
tt0490579,1
tt0309987,2
tt0096874,1
tt1083456,1
tt2139555,1
tt3631112,1
tt0120762,1
tt0469494,2
tt1291150,1
tt1698641,4
tt0454876,6
tt1735898,4
tt0113957,2
tt3498820,8
tt0084777,1
tt0840361,3
tt0486946,1
tt0078788,2
tt3063516,3
tt0109444,1
tt1844624,2
tt0120382,10
tt0780504,34
tt0822832,7
tt0852713,1
tt0314498,1
tt0142342,2
tt1591613,1
tt1023481,6
tt0052950,1
tt0099423,1
tt0365748,7
tt2082156,1
tt0120363,1
tt1253864,3
tt1067765,1
tt1124035,14
tt2305051,3
tt0475293,2
tt1152836,1
tt2140479,1
tt1895587,7
tt0478304,11
tt0117509,5
tt0054790,1
tt0989000,1
tt0101921,1
tt1674771,2
tt0100436,1
tt0330099,1
tt3844362,1
tt0212712,1
tt0099088,1
tt0089822,1
tt3322364,1
tt0110997,2
tt2058107,1
tt0970468,2
tt0092965,1
tt0330229,1
tt0821640,7
tt0485947,4
tt0094737,5
tt2140619,11
tt3316948,2
tt1623288,1
tt0472181,3
tt0778784,1
tt0315733,2
tt2509850,1
tt5232230,1
tt0463985,1
tt1686821,1
tt2076220,1
tt0107206,1
tt2652118,1
tt0817230,7
tt1931435,2
tt0121164,2
tt1930123,1
tt1045670,1
tt2180411,2
tt5083738,1
tt0075686,5
tt1000774,5
tt1696535,1
tt0112130,1
tt5036442,1
tt1634122,1
tt0356470,9
tt1392214,4
tt1504320,2
tt0050307,1
tt0824747,4
tt1639426,1
tt0315824,1
tt0113627,1
tt2034031,2
tt0795421,9
tt1416801,3
tt3628584,1
tt0463854,1
tt1441326,2
tt0382625,1
tt0093565,4
tt0121766,2
tt0112864,1
tt1772250,1
tt0258760,1
tt1266029,1
tt1216475,3
tt1266020,1
tt0112462,1
tt0056663,1
tt1396218,6
tt1234654,1
tt0351977,2
tt2103267,1
tt0963743,3
tt0108783,1
tt0082348,1
tt0863046,1
tt0792965,2
tt1714915,3
tt2661044,1
tt0465580,1
tt1479388,1
tt0388125,2
tt0369441,4
tt1726669,1
tt0083833,2
tt0378947,2
tt1359423,1
tt3960412,1
tt0970866,3
tt3833822,1
tt0062622,1
tt0426883,2
tt0137338,1
tt1183665,1
tt1152758,1
tt0109255,1
tt0067277,1
tt0327084,2
tt0383574,2
tt0049513,1
tt1489889,1
tt0425210,3
tt1661099,1
tt0253556,1
tt1232207,1
tt0098635,14
tt0063951,1
tt0832266,17
tt0110912,14
tt1726861,1
tt1605777,1
tt0910970,5
tt1242460,8
tt1591095,5
tt0861689,1
tt4357368,1
tt0087538,1
tt0105112,1
tt1829012,1
tt0103994,1
tt1205535,5
tt1205537,1
tt0120888,4
tt0120889,1
tt0864835,1
tt0234215,2
tt0791304,2
tt1905041,2
tt1856047,1
tt0914863,1
tt1565958,3
tt0138749,1
tt2756032,2
tt0107818,2
tt0240890,6
tt0477139,2
tt1083462,1
tt0120777,1
tt0131325,1
tt0884328,1
tt0120770,1
tt2479800,6
tt2023587,1
tt4698684,2
tt0364517,8
tt0454084,1
tt1164999,1
tt1067118,1
tt0842926,5
tt0272338,2
tt1315981,2
tt0061385,1
tt0405159,2
tt0110367,1
tt0096926,1
tt0449467,3
tt0164052,2
tt0060196,2
tt1438176,1
tt2167393,1
tt2660888,3
tt2364841,5
tt0183649,1
tt0092005,2
tt2094018,1
tt0087843,1
tt1672723,1
tt0243493,1
tt0413895,1
tt1838603,4
tt1235841,3
tt0071853,6
tt0070511,1
tt0160916,1
tt2114375,1
tt1091722,10
tt2562232,8
tt0120082,1
tt0478311,11
tt1912398,2
tt1628841,1
tt1212436,5
tt3107288,1
tt0096283,5
tt1658801,2
tt0467197,1
tt0107362,1
tt0159365,1
tt0430922,6
tt0963966,3
tt0413099,3
tt1528100,1
tt0045152,1
tt0330373,1
tt1650554,3
tt1758830,3
tt0113321,1
tt0033804,1
tt4262142,1
tt0188674,1
tt0113986,3
tt0449088,2
tt0838283,4
tt0455590,1
tt0463998,1
tt1731141,1
tt0072226,1
tt1727776,1
tt1706593,1
tt0361696,1
tt0110963,1
tt0372532,7
tt0058329,1
tt0976222,1
tt2149175,1
tt0107144,1
tt0397078,4
tt3553976,1
tt5580146,1
tt2404311,2
tt0087332,2
tt0446755,1
tt4104022,2
tt1074638,7
tt1078588,3
tt0113189,1
tt0212985,1
tt0119116,2
tt0443272,2
tt0166813,1
tt0090605,2
tt0096463,2
tt3172532,3
tt0808510,1
tt0249462,4
tt3300542,1
tt4034354,1
tt1442449,1
tt0054279,1
tt1728196,1
tt1210106,1
tt0299977,1
tt0424880,2
tt1186370,1
tt0126250,1
tt0112471,11
tt1379177,2
tt0427944,4
tt0096697,1
tt1924429,2
tt3799694,8
tt0105323,2
tt1341167,1
tt3142688,1
tt4164462,1
tt0120131,1
tt1954701,2
tt1194173,4
tt0119280,1
tt2106529,1
tt1967545,1
tt0996605,2
tt0425061,5
tt0460740,2
tt1571249,1
tt3653402,1
tt0758758,5
tt0332136,2
tt1758795,3
tt0964517,3
tt0758752,22
tt0419198,1
tt1703148,1
tt0187393,1
tt0119738,4
tt1560747,1
tt0076666,1
tt0349825,1
tt0410730,1
tt0795368,1
tt0306047,1
tt0358456,1
tt1798709,25
tt0098627,1
tt1821549,2
tt0457513,2
tt0309530,1
tt0089218,2
tt0411008,1
tt0317198,6
tt0319061,4
tt0087545,1
tt0087544,1
tt3397884,7
tt0109686,3
tt2966760,1
tt1035736,1
tt1600196,4
tt4229236,1
tt1204340,1
tt3569230,4
tt3489470,1
tt0102450,1
tt0072562,1
tt1959490,1
tt1931602,1
tt0261392,1
tt0810913,1
tt0183790,2
tt0206917,1
tt2402927,3
tt0286716,1
tt0103855,2
tt1126618,5
tt2480514,1
tt0275491,1
tt0103859,1
tt3804556,1
tt0331811,2
tt0127723,2
tt0947798,7
tt1601913,5
tt0815236,7
tt3409392,1
tt5290524,1
tt0830515,3
tt1644655,1
tt0468569,14
tt0406158,1
tt0364569,3
tt3202202,1
tt1836987,1
tt1872818,3
tt0113243,1
tt0110357,3
tt2975578,1
tt0059956,1
tt0844330,1
tt0096928,1
tt0250494,6
tt2315226,1
tt0163025,1
tt1582271,1
tt2544766,1
tt1139797,1
tt0976051,2
tt0325710,2
tt0086837,1
tt0156887,1
tt0186151,1
tt5699202,1
tt1074213,1
tt0798817,1
tt0107688,1
