,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
159,tt1570728,"Crazy, Stupid, Love.",245,7.4,2011,381395,7080,feature,PG-13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,1.0
354,tt1632708,Friends with Benefits,55,6.6,2011,275870,6540,feature,R,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.211618257261,0.757575757576,1.0,0.921752767664,0.925,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,-0.581034482759,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,0.0
4,tt1045658,Silver Linings Playbook,53,7.8,2012,544029,7320,feature,R,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.203319502075,0.878787878788,0.986111111111,0.879406203424,0.966666666667,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,0.0
346,tt1282140,Easy A,44,7.1,2010,282655,5520,feature,PG-13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.165975103734,0.909090909091,0.986111111111,0.926783873766,0.783333333333,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,1.0
377,tt1022603,(500) Days of Summer,43,7.7,2009,384035,5700,feature,PG-13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.161825726141,0.909090909091,0.972222222222,0.998042428871,0.808333333333,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,1.0
297,tt0147800,10 Things I Hate About You,41,7.2,1999,227576,5820,feature,PG-13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.153526970954,0.939393939394,0.833333333333,0.885942563083,0.825,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,1.0
229,tt2194499,About Time,38,7.8,2013,209307,7380,feature,R,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.141078838174,0.878787878788,0.972222222222,0.872396022571,0.958333333333,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,-0.881034482759,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,-0.884482758621,0.0672413793103,1.0,0.0
510,tt1041829,The Proposal,37,6.7,2009,232473,6480,feature,PG-13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.136929460581,0.787878787879,0.972222222222,0.889573709227,0.916666666667,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,1.0
563,tt1605783,Midnight in Paris,37,7.7,2011,307342,5640,feature,PG-13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.136929460581,0.909090909091,1.0,0.945089388333,0.8,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,-0.581034482759,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,-0.884482758621,0.0672413793103,1.0,1.0
317,tt0314331,Love Actually,36,7.7,2003,323808,8100,feature,R,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.132780082988,0.909090909091,0.888888888889,0.957298996745,0.858333333333,0.168965517241,0.470689655172,0.0137931034483,0.186206896552,0.155172413793,0.0862068965517,0.418965517241,0.0293103448276,0.118965517241,0.144827586207,0.543103448276,0.0327586206897,0.0103448275862,0.0224137931034,0.0603448275862,0.115517241379,0.0672413793103,1.0,0.0
