rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	R	0	[<Person: u'Richard Linklater' (u'nm0000500')>, <Person: u'Julie Delpy' (u'nm0000365')>]	2004	tt0381681	0	171957	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Ethan Hawke' (u'nm0000160')>, <Person: u'Julie Delpy' (u'nm0000365')>, <Person: u'Vernon Dobtcheff' (u'nm0229943')>, <Person: u'Louise Lemoine Torr\xe8s' (u'nm1566537')>]	Before Sunset	0	0	1	0	0	feature	0	0	0	11	0	0	[]	1	0	0	4800	0
6.8	0	PG	1	[<Person: u'Leslie Caveny' (u'nm0147092')>]	2006	tt0472160	0	51209	[<Person: u'Mark Palansky' (u'nm0657372')>]	[<Person: u'Christina Ricci' (u'nm0000207')>, <Person: u'James McAvoy' (u'nm0564215')>, <Person: u'Reese Witherspoon' (u'nm0000702')>, <Person: u'Richard E. Grant' (u'nm0001290')>]	Penelope	0	0	1	0	1	feature	0	0	0	7	0	0	[]	0	0	0	6240	0
5.2	0	PG-13	0	[<Person: u'Pamela Falk' (u'nm0266184')>, <Person: u'Michael Ellis' (u'nm0963400')>]	2001	tt0209475	0	62322	[<Person: u'Adam Shankman' (u'nm0788202')>]	[<Person: u'Jennifer Lopez' (u'nm0000182')>, <Person: u'Matthew McConaughey' (u'nm0000190')>, <Person: u'Bridgette Wilson-Sampras' (u'nm0933098')>, <Person: u'Justin Chambers' (u'nm0150362')>]	The Wedding Planner	0	0	1	0	1	feature	0	0	0	7	0	0	[]	0	0	0	6180	0
5.5	0	PG-13	0	[<Person: u'David Diamond' (u'nm0224606')>, <Person: u'David Weissman' (u'nm0919289')>]	2010	tt1185416	0	51707	[<Person: u'Mark Steven Johnson' (u'nm0425756')>]	[<Person: u'Kristen Bell' (u'nm0068338')>, <Person: u'Josh Duhamel' (u'nm0241049')>, <Person: u'Anjelica Huston' (u'nm0001378')>, <Person: u'Danny DeVito' (u'nm0000362')>]	When in Rome	0	0	1	0	1	feature	0	0	0	5	0	0	[]	0	0	0	5460	0
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544029	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	53	0	0	[]	1	0	0	7320	0
6.3	0	R	0	[<Person: u'Tom Williams' (u'nm2423647')>]	2011	tt1487118	0	18896	[<Person: u'Phil Traill' (u'nm1288766')>]	[<Person: u'Felicity Jones' (u'nm0428065')>, <Person: u'Ed Westwick' (u'nm2067953')>, <Person: u'Bill Nighy' (u'nm0631490')>, <Person: u'Brooke Shields' (u'nm0000222')>]	Chalet Girl	0	0	1	0	1	feature	0	0	0	4	0	0	[]	0	0	0	5760	0
5.8	0	PG-13	0	[<Person: u'Seth Rogen' (u'nm0736622')>, <Person: u'Evan Goldberg' (u'nm1698571')>]	2011	tt0990407	0	137599	[<Person: u'Michel Gondry' (u'nm0327273')>]	[<Person: u'Seth Rogen' (u'nm0736622')>, <Person: u'Jay Chou' (u'nm1727100')>, <Person: u'Christoph Waltz' (u'nm0910607')>, <Person: u'Cameron Diaz' (u'nm0000139')>]	The Green Hornet	1	1	0	0	1	feature	0	0	0	4	1	0	[]	0	0	1	7140	0
6.4	0	PG-13	1	[<Person: u'Juan Solanas' (u'nm0812626')>, <Person: u'Juan Solanas' (u'nm0812626')>]	2012	tt1374992	0	59576	[<Person: u'Juan Solanas' (u'nm0812626')>]	[<Person: u'Jim Sturgess' (u'nm0836343')>, <Person: u'Kirsten Dunst' (u'nm0000379')>, <Person: u'Timothy Spall' (u'nm0001758')>, <Person: u'Blu Mankuma' (u'nm0542558')>]	Upside Down	1	0	1	0	0	feature	0	0	0	4	0	0	[]	1	0	0	6840	0
6.2	1	PG-13	0	[<Person: u'Elizabeth Chandler' (u'nm0151358')>, <Person: u'Ann Brashares' (u'nm1569351')>]	2008	tt1018785	0	22658	[<Person: u'Sanaa Hamri' (u'nm1065402')>]	[<Person: u'America Ferrera' (u'nm1065229')>, <Person: u'Alexis Bledel' (u'nm0088127')>, <Person: u'Amber Tamblyn' (u'nm0848554')>, <Person: u'Blake Lively' (u'nm0515116')>]	The Sisterhood of the Traveling Pants 2	0	0	1	0	1	feature	0	0	0	4	0	0	[]	1	0	0	7140	0
7.8	1	PG	1	[<Person: u'Dan Fogelman' (u'nm1557594')>, <Person: u'Jacob Grimm' (u'nm0342278')>]	2010	tt0398286	0	301661	[<Person: u'Nathan Greno' (u'nm1977355')>, <Person: u'Byron Howard' (u'nm0397174')>]	[<Person: u'Mandy Moore' (u'nm0601553')>, <Person: u'Zachary Levi' (u'nm1157048')>, <Person: u'Donna Murphy' (u'nm0614220')>, <Person: u'Ron Perlman' (u'nm0000579')>]	Tangled	0	0	1	0	1	feature	0	0	1	9	0	0	[]	0	0	0	6000	0
