,title,freq
0,tt2928288,1
1,tt0050212,3
2,tt0381681,5
3,tt0414993,2
4,tt0070544,1
5,tt0308644,5
6,tt1837703,2
7,tt0455275,3
8,tt3315342,1
9,tt3854104,1
10,tt2235108,3
11,tt0283530,2
12,tt2570858,1
13,tt3282858,1
14,tt3793788,1
15,tt1045658,15
16,tt0920458,1
17,tt3186946,1
18,tt2543328,1
19,tt1142972,1
20,tt0347149,3
21,tt0900387,1
22,tt0405508,1
23,tt4226388,5
24,tt2431438,1
25,tt0419887,1
26,tt0292644,1
27,tt1487118,1
28,tt0119167,1
29,tt0310281,1
30,tt0119164,2
31,tt1100089,18
32,tt3910804,1
33,tt0108451,1
34,tt3626742,1
35,tt2357291,1
36,tt3231564,1
37,tt1840417,2
38,tt3469964,1
39,tt0476735,1
40,tt2920808,2
41,tt3544112,2
42,tt0259127,1
43,tt3319920,2
44,tt1430132,3
45,tt2815030,1
46,tt0398286,4
47,tt1860353,1
48,tt1527186,1
49,tt0031981,1
50,tt2381249,4
51,tt1213663,2
52,tt0462538,1
53,tt2193215,2
54,tt2109131,1
55,tt2948356,12
56,tt3281796,1
57,tt2788716,2
58,tt1837709,2
59,tt2788710,11
60,tt1995390,1
61,tt2119532,5
62,tt1981107,2
63,tt1253863,4
64,tt0368774,1
65,tt1646971,18
66,tt3322364,5
67,tt0810784,1
68,tt0104779,1
69,tt1702014,4
70,tt0120199,1
71,tt1931435,1
72,tt0213847,1
73,tt2304771,2
74,tt1392214,18
75,tt2007387,1
76,tt0067959,2
77,tt0098471,1
78,tt0335345,2
79,tt0800026,1
80,tt0480249,5
81,tt1800241,10
82,tt0031679,4
83,tt3148834,1
84,tt3088362,1
85,tt1928340,2
86,tt1662293,1
87,tt3511812,1
88,tt1637688,5
89,tt0383574,1
90,tt3612616,9
91,tt4768776,2
92,tt3433358,1
93,tt0083987,4
94,tt1596350,2
95,tt0262985,1
96,tt1178665,3
97,tt3438472,1
98,tt1124373,2
99,tt0230600,2
100,tt0102798,1
101,tt0349903,1
102,tt0376800,1
103,tt0061852,1
104,tt0810819,13
105,tt0072443,1
106,tt0359950,5
107,tt1726592,4
108,tt0132477,5
109,tt0056262,1
110,tt2170593,7
111,tt3766394,2
112,tt0265086,6
113,tt1078588,1
114,tt3529664,1
115,tt1566648,1
116,tt0814314,8
117,tt1226229,1
