,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
72,tt0454876,Life of Pi,245,8.0,2012,450654,7620,feature,PG,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,0.653386454183,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,0.808764940239,0.107569721116,1.0,1.0
235,tt1853728,Django Unchained,61,8.5,2012,982975,9900,feature,R,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.236514522822,0.838709677419,1.0,0.58390674501,0.80310880829,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,0.185258964143,0.0219123505976,-0.988047808765,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
433,tt0816692,Interstellar,46,8.6,2014,967487,10140,feature,PG-13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.174273858921,0.806451612903,0.972602739726,0.596013072457,0.782383419689,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,0.653386454183,0.131474103586,0.396414342629,0.0856573705179,-0.798804780876,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
432,tt1345836,The Dark Knight Rises,45,8.5,2012,1171108,9840,feature,PG-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170124481328,0.838709677419,1.0,0.436850979145,0.80829015544,-0.741035856574,0.215139442231,0.0438247011952,-0.737051792829,-0.346613545817,0.131474103586,-0.603585657371,0.0856573705179,0.201195219124,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
178,tt0903624,The Hobbit: An Unexpected Journey,44,7.9,2012,648067,10140,feature,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.165975103734,0.967741935484,1.0,0.845690442896,0.782383419689,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,0.653386454183,0.131474103586,-0.603585657371,0.0856573705179,0.201195219124,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,0.808764940239,0.107569721116,1.0,0.0
217,tt1375666,Inception,44,8.8,2010,1505810,8880,feature,PG-13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.165975103734,0.741935483871,0.972602739726,0.175228302918,0.891191709845,-0.741035856574,0.215139442231,0.0438247011952,-0.737051792829,0.653386454183,0.131474103586,-0.603585657371,0.0856573705179,-0.798804780876,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
2,tt1045658,Silver Linings Playbook,44,7.8,2012,544020,7320,feature,R,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.165975103734,0.935483870968,1.0,0.927019668874,0.974093264249,0.258964143426,-0.784860557769,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,-0.814741035857,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
312,tt0109830,Forrest Gump,41,8.8,1994,1286119,8520,feature,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.153526970954,0.741935483871,0.753424657534,0.346951648948,0.922279792746,0.258964143426,-0.784860557769,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
172,tt1659337,The Perks of Being a Wallflower,40,8.0,2012,360262,6120,feature,PG-13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.149377593361,1.0,1.0,0.929344321368,0.870466321244,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,-0.814741035857,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
139,tt0848228,The Avengers,39,8.1,2012,1016899,8580,feature,PG-13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.145228215768,0.967741935484,1.0,0.557389760742,0.917098445596,-0.741035856574,0.215139442231,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,-0.603585657371,0.0856573705179,-0.798804780876,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
44,tt1454468,Gravity,37,7.8,2013,595171,5460,feature,PG-13,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.136929460581,0.935483870968,0.986301369863,0.88703705296,0.813471502591,0.258964143426,0.215139442231,0.0438247011952,-0.737051792829,0.653386454183,0.131474103586,0.396414342629,0.0856573705179,-0.798804780876,0.151394422311,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
437,tt1748122,Moonrise Kingdom,37,7.8,2012,243263,5640,feature,PG-13,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.136929460581,0.935483870968,1.0,0.837891053996,0.829015544041,0.258964143426,-0.784860557769,0.0438247011952,0.262948207171,0.653386454183,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,0.151394422311,-0.814741035857,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
31,tt0111161,The Shawshank Redemption,35,9.3,1994,1729985,8520,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.128630705394,0.58064516129,0.753424657534,0.0,0.922279792746,0.258964143426,0.215139442231,0.0438247011952,0.262948207171,-0.346613545817,0.131474103586,0.396414342629,0.0856573705179,0.201195219124,-0.848605577689,0.185258964143,0.0219123505976,0.0119521912351,0.0478087649402,0.103585657371,-0.191235059761,0.107569721116,1.0,0.0
