rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	R	0	[<Person: u'Richard Linklater' (u'nm0000500')>, <Person: u'Julie Delpy' (u'nm0000365')>]	2004	tt0381681	0	171955	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Ethan Hawke' (u'nm0000160')>, <Person: u'Julie Delpy' (u'nm0000365')>, <Person: u'Vernon Dobtcheff' (u'nm0229943')>, <Person: u'Louise Lemoine Torr\xe8s' (u'nm1566537')>]	Before Sunset	0	0	1	0	0	feature	0	0	0	6	0	0	[]	1	0	0	4800	0
7.8	1	PG	0	[<Person: u'Allan Knee' (u'nm0460632')>, <Person: u'David Magee' (u'nm1341735')>]	2004	tt0308644	1	176309	[<Person: u'Marc Forster' (u'nm0286975')>]	[<Person: u'Johnny Depp' (u'nm0000136')>, <Person: u'Kate Winslet' (u'nm0000701')>, <Person: u'Julie Christie' (u'nm0001046')>, <Person: u'Radha Mitchell' (u'nm0593664')>]	Finding Neverland	0	0	0	0	0	feature	0	0	0	6	0	0	[]	1	0	0	6060	0
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544020	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	44	0	0	[]	1	0	0	7320	0
8.2	1	TV-PG	1	[<Person: u'Hayao Miyazaki' (u'nm0594503')>, <Person: u'Diana Wynne Jones' (u'nm1168510')>]	2004	tt0347149	0	220895	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	[<Person: u'Chieko Baish\xf4' (u'nm0047962')>, <Person: u'Takuya Kimura' (u'nm0454120')>, <Person: u'Tatsuya Gash\xfbin' (u'nm0309107')>, <Person: u'Akihiro Miwa' (u'nm0594271')>]	Howl's Moving Castle	0	0	0	0	0	feature	0	0	1	4	0	0	[]	0	0	0	7140	0
7	1	PG	0	[<Person: u'Leonard Ripps' (u'nm0728125')>, <Person: u'Tim Burton' (u'nm0000318')>]	2012	tt1142977	0	76160	[<Person: u'Tim Burton' (u'nm0000318')>]	[<Person: u'Winona Ryder' (u'nm0000213')>, <Person: u"Catherine O'Hara" (u'nm0001573')>, <Person: u'Martin Short' (u'nm0001737')>, <Person: u'Martin Landau' (u'nm0001445')>]	Frankenweenie	1	0	0	0	1	feature	0	1	0	8	0	0	[]	0	0	0	5220	0
6.1	0	R	0	[<Person: u'Jack Kerouac' (u'nm0449616')>, <Person: u'Jose Rivera' (u'nm1433580')>]	2012	tt0337692	0	33779	[<Person: u'Walter Salles' (u'nm0758574')>]	[<Person: u'Sam Riley' (u'nm0727165')>, <Person: u'Garrett Hedlund' (u'nm1330560')>, <Person: u'Kristen Stewart' (u'nm0829576')>, <Person: u'Amy Adams' (u'nm0010736')>]	On the Road	0	0	1	0	0	feature	0	0	1	5	0	0	[]	1	0	0	7440	0
6.7	0	PG-13	0	[<Person: u'Mark Bomback' (u'nm0093560')>, <Person: u'Scott Frank' (u'nm0291082')>]	2013	tt1430132	0	334798	[<Person: u'James Mangold' (u'nm0003506')>]	[<Person: u'Hugh Jackman' (u'nm0413168')>, <Person: u'Will Yun Lee' (u'nm0498449')>, <Person: u'Tao Okamoto' (u'nm5148840')>, <Person: u'Rila Fukushima' (u'nm3822462')>]	The Wolverine	1	0	0	0	0	feature	0	0	1	6	1	0	[]	0	0	1	7560	0
7.8	1	PG	1	[<Person: u'Dan Fogelman' (u'nm1557594')>, <Person: u'Jacob Grimm' (u'nm0342278')>]	2010	tt0398286	0	301657	[<Person: u'Nathan Greno' (u'nm1977355')>, <Person: u'Byron Howard' (u'nm0397174')>]	[<Person: u'Mandy Moore' (u'nm0601553')>, <Person: u'Zachary Levi' (u'nm1157048')>, <Person: u'Donna Murphy' (u'nm0614220')>, <Person: u'Ron Perlman' (u'nm0000579')>]	Tangled	0	0	1	0	1	feature	0	0	1	4	0	0	[]	0	0	0	6000	0
7.1	0	R	0	[<Person: u'Lars von Trier' (u'nm0001885')>]	2011	tt1527186	0	131746	[<Person: u'Lars von Trier' (u'nm0001885')>]	[<Person: u'Kirsten Dunst' (u'nm0000379')>, <Person: u'Charlotte Gainsbourg' (u'nm0001250')>, <Person: u'Kiefer Sutherland' (u'nm0000662')>, <Person: u'Alexander Skarsg\xe5rd' (u'nm0002907')>]	Melancholia	0	0	0	0	0	feature	0	0	0	6	0	0	[]	1	0	0	8100	0
8.1	1	PG	0	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	2016	tt2948356	0	222006	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	[<Person: u'Ginnifer Goodwin' (u'nm0329481')>, <Person: u'Jason Bateman' (u'nm0000867')>, <Person: u'Idris Elba' (u'nm0252961')>, <Person: u'Jenny Slate' (u'nm2809577')>]	Zootopia	0	1	0	0	1	feature	0	0	1	4	0	1	[]	0	0	0	6480	0
