rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	R	0	[<Person: u'Richard Linklater' (u'nm0000500')>, <Person: u'Julie Delpy' (u'nm0000365')>]	2004	tt0381681	0	171965	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Ethan Hawke' (u'nm0000160')>, <Person: u'Julie Delpy' (u'nm0000365')>, <Person: u'Vernon Dobtcheff' (u'nm0229943')>, <Person: u'Louise Lemoine Torr\xe8s' (u'nm1566537')>]	Before Sunset	0	0	1	0	0	feature	0	0	0	5	0	0	[]	1	0	0	4800	0
7.3	0	PG-13	0	[<Person: u'Darren Aronofsky' (u'nm0004716')>, <Person: u'Darren Aronofsky' (u'nm0004716')>]	2006	tt0414993	0	193888	[<Person: u'Darren Aronofsky' (u'nm0004716')>]	[<Person: u'Hugh Jackman' (u'nm0413168')>, <Person: u'Rachel Weisz' (u'nm0001838')>, <Person: u'Sean Patrick Thomas' (u'nm0859503')>, <Person: u'Ellen Burstyn' (u'nm0000995')>]	The Fountain	1	0	0	0	0	feature	0	0	0	6	0	0	[]	1	0	0	5760	0
6.1	0	R	0	[<Person: u'Jeff Buhler' (u'nm1161528')>, <Person: u'Clive Barker' (u'nm0000850')>]	2008	tt0805570	0	48340	[<Person: u'Ry\xfbhei Kitamura' (u'nm0457565')>]	[<Person: u'Vinnie Jones' (u'nm0005068')>, <Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Leslie Bibb' (u'nm0004753')>, <Person: u'Brooke Shields' (u'nm0000222')>]	The Midnight Meat Train	0	0	0	0	0	feature	0	1	0	4	0	1	[]	0	0	0	6000	0
7.8	1	PG	0	[<Person: u'Allan Knee' (u'nm0460632')>, <Person: u'David Magee' (u'nm1341735')>]	2004	tt0308644	1	176312	[<Person: u'Marc Forster' (u'nm0286975')>]	[<Person: u'Johnny Depp' (u'nm0000136')>, <Person: u'Kate Winslet' (u'nm0000701')>, <Person: u'Julie Christie' (u'nm0001046')>, <Person: u'Radha Mitchell' (u'nm0593664')>]	Finding Neverland	0	0	0	0	0	feature	0	0	0	4	0	0	[]	1	0	0	6060	0
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544048	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	8	0	0	[]	1	0	0	7320	0
8.2	1	TV-PG	1	[<Person: u'Hayao Miyazaki' (u'nm0594503')>, <Person: u'Diana Wynne Jones' (u'nm1168510')>]	2004	tt0347149	0	220903	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	[<Person: u'Chieko Baish\xf4' (u'nm0047962')>, <Person: u'Takuya Kimura' (u'nm0454120')>, <Person: u'Tatsuya Gash\xfbin' (u'nm0309107')>, <Person: u'Akihiro Miwa' (u'nm0594271')>]	Howl's Moving Castle	0	0	0	0	0	feature	0	0	1	5	0	0	[]	0	0	0	7140	0
6.7	0	PG-13	1	[<Person: u'Steve Koren' (u'nm0466175')>, <Person: u"Mark O'Keefe" (u'nm0641479')>]	2003	tt0315327	0	302924	[<Person: u'Tom Shadyac' (u'nm0001723')>]	[<Person: u'Jim Carrey' (u'nm0000120')>, <Person: u'Jennifer Aniston' (u'nm0000098')>, <Person: u'Morgan Freeman' (u'nm0000151')>, <Person: u'Philip Baker Hall' (u'nm0001311')>]	Bruce Almighty	0	0	0	0	1	feature	0	0	0	14	0	0	[]	1	0	0	6060	0
6.6	0	TV-14	0	[<Person: u'Kevin Bisch' (u'nm1358355')>]	2005	tt0386588	0	248665	[<Person: u'Andy Tennant' (u'nm0855035')>]	[<Person: u'Will Smith' (u'nm0000226')>, <Person: u'Eva Mendes' (u'nm0578949')>, <Person: u'Kevin James' (u'nm0416673')>, <Person: u'Amber Valletta' (u'nm0005520')>]	Hitch	0	0	1	0	1	feature	0	0	0	4	0	0	[]	0	0	0	7080	0
7.6	0	Unrated	0	[<Person: u'Michael Haneke' (u'nm0359734')>]	1997	tt0119167	0	45333	[<Person: u'Michael Haneke' (u'nm0359734')>]	[<Person: u'Susanne Lothar' (u'nm0521443')>, <Person: u'Ulrich M\xfche' (u'nm0618057')>, <Person: u'Arno Frisch' (u'nm0295823')>, <Person: u'Frank Giering' (u'nm0317385')>]	Funny Games	0	1	0	0	0	feature	0	1	0	4	1	0	[]	1	0	0	6480	0
7.1	0	R	0	[<Person: u'Philip K. Dick' (u'nm0001140')>, <Person: u'Richard Linklater' (u'nm0000500')>]	2006	tt0405296	0	90669	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Keanu Reeves' (u'nm0000206')>, <Person: u'Winona Ryder' (u'nm0000213')>, <Person: u'Robert Downey Jr.' (u'nm0000375')>, <Person: u'Rory Cochrane' (u'nm0168262')>]	A Scanner Darkly	1	0	0	0	0	feature	0	0	0	4	1	1	[]	1	0	0	6000	0
