,title,freq
0,tt0050212,3
1,tt0381681,1
2,tt0414993,1
3,tt0298656,1
4,tt0097216,2
5,tt0455275,2
6,tt0020629,1
7,tt2235108,1
8,tt4288636,1
9,tt0442933,1
10,tt1045658,10
11,tt0347149,6
12,tt1142977,1
13,tt2431438,1
14,tt0292644,1
15,tt0050322,1
16,tt0119167,1
17,tt0119164,1
18,tt0097108,1
19,tt0308644,1
20,tt0405296,3
21,tt3910804,1
22,tt1475262,1
23,tt0059592,2
24,tt0401085,3
25,tt0329030,1
26,tt0381849,1
27,tt1726592,1
28,tt1374992,1
29,tt0465494,1
30,tt1921064,1
31,tt0037913,1
32,tt0060959,1
33,tt1430132,1
34,tt0398286,1
35,tt2452254,1
36,tt1527186,4
37,tt0182576,1
38,tt2381249,2
39,tt1213663,3
40,tt0276751,2
41,tt0484382,1
42,tt0056687,1
43,tt0417299,1
44,tt0076786,1
45,tt2948356,7
46,tt0063350,1
47,tt0993842,1
48,tt1800246,1
49,tt2119532,2
50,tt1173745,1
51,tt3433170,1
52,tt1646971,3
53,tt0071230,3
54,tt0810784,1
55,tt0318034,1
56,tt0080120,2
57,tt1525835,1
58,tt0213847,1
59,tt2304771,1
60,tt1392214,18
61,tt0457655,1
62,tt0067959,1
63,tt2123146,1
64,tt0335345,2
65,tt0480249,3
66,tt0031679,2
67,tt0118694,3
68,tt0091983,1
69,tt1637688,2
70,tt3612616,2
71,tt0056869,1
72,tt0083987,3
73,tt0043014,7
74,tt0856288,1
75,tt0087469,3
76,tt1124373,1
77,tt0230600,3
78,tt0349903,1
79,tt0363547,2
80,tt0105046,1
81,tt0810819,5
82,tt0072443,1
83,tt0359950,5
84,tt1650554,1
85,tt0132477,1
86,tt0242527,1
87,tt0460681,1
88,tt2170593,1
89,tt0265086,2
90,tt0069704,2
91,tt0814314,4
92,tt0082031,1
93,tt2561572,1
94,tt0423731,1
95,tt1343092,7
96,tt0111495,2
97,tt1322269,1
98,tt2821314,1
99,tt2310332,4
100,tt0486822,1
101,tt3170832,13
102,tt0098724,1
103,tt0450385,1
104,tt0111019,1
105,tt0204313,1
106,tt1588173,1
107,tt3089388,1
108,tt2848292,3
109,tt1038988,1
110,tt0480025,2
111,tt0080453,1
112,tt0012349,4
113,tt0080455,3
114,tt2582846,6
115,tt0416449,5
116,tt0979432,2
117,tt0365686,1
118,tt2649554,1
119,tt2131532,1
120,tt0106308,3
121,tt0106307,2
122,tt0307453,1
123,tt1583421,2
124,tt0110308,1
125,tt2376218,1
126,tt0117407,1
127,tt2295809,1
128,tt0077651,2
129,tt0087884,3
130,tt0489664,1
131,tt1490017,3
132,tt0017136,5
133,tt0290002,1
134,tt0111161,84
135,tt0120623,1
136,tt2554274,3
137,tt2005151,2
138,tt1411697,1
139,tt2861424,1
140,tt0264464,24
141,tt1937390,4
142,tt0169547,51
143,tt1142988,1
144,tt0106548,1
145,tt1808223,1
146,tt0472954,2
147,tt0384793,1
148,tt2171875,1
149,tt0107120,1
150,tt1692190,1
151,tt0408664,1
152,tt1716772,1
153,tt1716777,1
154,tt0242653,3
155,tt0084516,1
156,tt0405422,3
157,tt0055928,1
158,tt0092991,5
159,tt1365050,3
160,tt1772264,1
161,tt0094721,5
162,tt0091530,1
163,tt1865505,2
164,tt0116209,2
165,tt0117333,2
166,tt0282698,1
167,tt0372824,2
168,tt0268978,15
169,tt2084970,9
170,tt0422720,3
171,tt0298130,2
172,tt0119008,5
173,tt1486185,1
174,tt0100050,2
175,tt1318514,1
176,tt2277860,2
177,tt0249241,1
178,tt0074896,1
179,tt1109624,2
180,tt0283509,1
181,tt0068611,1
182,tt1255953,5
183,tt1407065,1
184,tt0079116,2
185,tt0332375,1
186,tt2249221,1
187,tt1706620,5
188,tt1191111,3
189,tt0119174,5
190,tt0332379,1
191,tt0119177,2
192,tt0110684,1
193,tt0055254,2
194,tt0185183,1
195,tt4302938,1
196,tt1454468,6
197,tt3387648,1
198,tt1020072,1
199,tt0800369,2
200,tt0092563,2
201,tt0115678,1
202,tt0173714,1
203,tt2106476,11
204,tt1692486,3
205,tt3659388,14
206,tt0266697,37
207,tt1112782,1
208,tt0046250,2
209,tt3813310,1
210,tt0093713,1
211,tt0087182,1
212,tt0122151,1
213,tt1198156,1
214,tt1832382,4
215,tt0256009,1
216,tt0368709,1
217,tt0047437,1
218,tt2316411,6
219,tt2262227,1
220,tt0089126,1
221,tt0063385,1
222,tt1571222,1
223,tt2407574,1
224,tt1201607,4
225,tt0800039,2
226,tt0396269,1
227,tt0031885,1
228,tt0058461,1
229,tt1457767,3
230,tt0108065,1
231,tt2218003,1
232,tt0479884,3
233,tt1931533,6
234,tt0105236,59
235,tt0456396,1
236,tt0362225,1
237,tt0362227,7
238,tt1187064,2
239,tt0104892,1
240,tt3183660,1
241,tt0115641,2
242,tt4044364,1
243,tt2937898,1
244,tt3076658,2
245,tt0034583,18
246,tt2488496,6
247,tt0435705,2
248,tt0929425,1
249,tt0266987,1
250,tt0097904,1
251,tt0102492,1
252,tt0122933,1
253,tt0102494,1
254,tt0481499,1
255,tt0109424,6
256,tt1878841,1
257,tt0137523,110
258,tt1939659,1
259,tt2637276,1
260,tt0112442,1
261,tt3451720,1
262,tt2125435,1
263,tt1515091,4
264,tt0945513,2
265,tt0139654,10
266,tt0103874,2
267,tt1148204,2
268,tt1386697,4
269,tt1083452,1
270,tt0309987,8
271,tt0415306,1
272,tt0111797,1
273,tt0048473,2
274,tt3631112,1
275,tt0052311,2
276,tt0469494,21
277,tt0039192,1
278,tt0454876,7
279,tt3498820,7
280,tt0145487,3
281,tt0109934,1
282,tt0123865,1
283,tt0840361,4
284,tt0486946,1
285,tt1877832,6
286,tt1844624,1
287,tt0120382,26
288,tt0097499,1
289,tt0780504,18
290,tt0097493,3
291,tt0268380,2
292,tt0995941,1
293,tt0142342,1
294,tt0099423,4
295,tt0365748,11
296,tt0120363,2
297,tt3522806,1
298,tt0203082,1
299,tt1067765,2
300,tt1124037,1
301,tt1152836,4
302,tt0053221,1
303,tt0117500,1
304,tt0993846,48
305,tt1189340,1
306,tt1895587,11
307,tt0478304,5
308,tt0117509,4
309,tt0100436,1
310,tt0276919,3
311,tt1186830,1
312,tt0212712,1
313,tt0099088,1
314,tt0065724,1
315,tt0084503,3
316,tt3322364,2
317,tt0092965,2
318,tt0055852,1
319,tt0095647,1
320,tt0064665,1
321,tt1773764,1
322,tt0485947,12
323,tt0094737,1
324,tt0462322,3
325,tt2140619,1
326,tt3316948,2
327,tt1623288,2
328,tt3499096,1
329,tt0314353,1
330,tt0072235,1
331,tt0315733,7
332,tt1486192,1
333,tt0463985,3
334,tt0060390,1
335,tt0307901,4
336,tt0112864,5
337,tt1164999,3
338,tt0107207,1
339,tt0121164,3
340,tt1377575,1
341,tt0075686,14
342,tt1000774,1
343,tt1499658,2
344,tt0333766,3
345,tt0824747,1
346,tt0101748,1
347,tt0361596,2
348,tt0113627,1
349,tt0453548,1
350,tt0108122,1
351,tt0099951,1
352,tt0249478,1
353,tt0311113,1
354,tt0112682,1
355,tt0093560,1
356,tt0401997,1
357,tt0121766,3
358,tt0121765,3
359,tt0802948,1
360,tt3464902,6
361,tt0118749,5
362,tt0312004,1
363,tt0112461,4
364,tt1355642,1
365,tt0057058,1
366,tt1149362,2
367,tt0090728,2
368,tt0963743,1
369,tt0063374,1
370,tt0369339,5
371,tt0082340,3
372,tt0418763,1
373,tt0792965,1
374,tt1029234,1
375,tt0780511,1
376,tt0368794,1
377,tt1714915,1
378,tt0388125,1
379,tt1360795,1
380,tt1928340,1
381,tt0398883,1
382,tt0106965,1
383,tt0399201,1
384,tt0062622,30
385,tt0426883,4
386,tt0137338,1
387,tt1640548,1
388,tt1152758,3
389,tt2152198,1
390,tt2388705,1
391,tt0067277,1
392,tt0327084,1
393,tt0383574,2
394,tt0256103,1
395,tt1489889,3
396,tt0425210,7
397,tt0076101,1
398,tt1235522,1
399,tt0098635,1
400,tt0832266,2
401,tt0053125,2
402,tt0114928,1
403,tt0910970,8
404,tt1242460,2
405,tt0200071,2
406,tt0862467,1
407,tt0081059,2
408,tt4897822,1
409,tt0066011,1
410,tt0082010,2
411,tt0087538,1
412,tt0081696,1
413,tt0864835,1
414,tt0234215,4
415,tt0243655,1
416,tt1905041,1
417,tt2758880,2
418,tt2321549,1
419,tt0107818,3
420,tt2945796,1
421,tt0238380,2
422,tt0015648,2
423,tt0020530,2
424,tt0477139,2
425,tt1600524,1
426,tt0106364,1
427,tt0243017,3
428,tt0884328,3
429,tt2479800,1
430,tt3149038,1
431,tt2023587,1
432,tt1166827,2
433,tt0303361,1
434,tt0364517,4
435,tt0330793,1
436,tt2076220,2
437,tt0842926,1
438,tt0402894,1
439,tt1217209,2
440,tt0110366,1
441,tt0110367,1
442,tt0327247,2
443,tt0110365,1
444,tt0449467,7
445,tt0232500,4
446,tt0082639,1
447,tt0102266,2
448,tt0120399,2
449,tt2967578,1
450,tt2364841,1
451,tt0107563,1
452,tt0183649,1
453,tt0450188,1
454,tt0114558,1
455,tt2631186,1
456,tt0376800,1
457,tt0087843,8
458,tt1179034,3
459,tt1028528,4
460,tt0071853,11
461,tt2396224,2
462,tt0070047,8
463,tt0160916,1
464,tt3963816,1
465,tt2562232,29
466,tt0052893,2
467,tt1912398,1
468,tt0248845,2
469,tt0135791,1
470,tt3521134,1
471,tt0448134,1
472,tt0096282,1
473,tt0096283,5
474,tt1190536,5
475,tt0985025,1
