,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
313,tt0110912,Pulp Fiction,246,8.9,1994,1355017,9240,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
41,tt0137523,Fight Club,110,8.8,1999,1381163,8340,feature,TV-MA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.438016528926,0.964285714286,0.931506849315,0.980355650925,0.857142857143,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
16,tt0111161,The Shawshank Redemption,84,9.3,1994,1730069,8520,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.330578512397,0.857142857143,1.0,0.718211106503,0.885714285714,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
102,tt0468569,The Dark Knight,83,9.0,2008,1715128,9120,feature,PG-13,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.326446280992,0.964285714286,0.808219178082,0.729436770831,0.980952380952,-0.827423167849,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
248,tt0109830,Forrest Gump,75,8.8,1994,1286187,8520,feature,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.293388429752,0.964285714286,1.0,0.948285758936,0.885714285714,0.172576832151,-0.765957446809,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
117,tt0068646,The Godfather,69,9.2,1972,1182206,10500,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.268595041322,0.892857142857,0.698630136986,0.870161416353,0.8,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
180,tt1375666,Inception,65,8.8,2010,1505881,8880,feature,PG-13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.252066115702,0.964285714286,0.780821917808,0.88665091873,0.942857142857,-0.827423167849,0.234042553191,0.0401891252955,-0.723404255319,-0.784869976359,0.132387706856,-0.68085106383,0.0614657210402,-0.83451536643,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
168,tt0114369,Se7en,64,8.6,1995,1050331,7620,feature,R,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.247933884298,0.892857142857,0.986301369863,0.771079394846,0.742857142857,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,-0.867612293144,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
263,tt0361748,Inglourious Basterds,64,8.3,2009,909421,9180,feature,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.247933884298,0.785714285714,0.794520547945,0.66520908091,0.990476190476,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,-0.784869976359,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,-0.945626477541,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
36,tt0105236,Reservoir Dogs,59,8.4,1992,680859,5940,feature,TV-MA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.227272727273,0.821428571429,0.972602739726,0.493482938733,0.47619047619,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
