rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544057	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	10	0	0	[]	1	0	0	7320	0
8.2	1	TV-PG	1	[<Person: u'Hayao Miyazaki' (u'nm0594503')>, <Person: u'Diana Wynne Jones' (u'nm1168510')>]	2004	tt0347149	0	220911	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	[<Person: u'Chieko Baish\xf4' (u'nm0047962')>, <Person: u'Takuya Kimura' (u'nm0454120')>, <Person: u'Tatsuya Gash\xfbin' (u'nm0309107')>, <Person: u'Akihiro Miwa' (u'nm0594271')>]	Howl's Moving Castle	0	0	0	0	0	feature	0	0	1	6	0	0	[]	0	0	0	7140	0
7.1	0	R	0	[<Person: u'Lars von Trier' (u'nm0001885')>]	2011	tt1527186	0	131758	[<Person: u'Lars von Trier' (u'nm0001885')>]	[<Person: u'Kirsten Dunst' (u'nm0000379')>, <Person: u'Charlotte Gainsbourg' (u'nm0001250')>, <Person: u'Kiefer Sutherland' (u'nm0000662')>, <Person: u'Alexander Skarsg\xe5rd' (u'nm0002907')>]	Melancholia	0	0	0	0	0	feature	0	0	0	4	0	0	[]	1	0	0	8100	0
8.1	1	PG	0	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	2016	tt2948356	0	222117	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	[<Person: u'Ginnifer Goodwin' (u'nm0329481')>, <Person: u'Jason Bateman' (u'nm0000867')>, <Person: u'Idris Elba' (u'nm0252961')>, <Person: u'Jenny Slate' (u'nm2809577')>]	Zootopia	0	1	0	0	1	feature	0	0	1	7	0	1	[]	0	0	0	6480	0
8.1	0	R	0	[<Person: u'Aaron Guzikowski' (u'nm3360706')>]	2013	tt1392214	0	399065	[<Person: u'Denis Villeneuve' (u'nm0898288')>]	[<Person: u'Hugh Jackman' (u'nm0413168')>, <Person: u'Jake Gyllenhaal' (u'nm0350453')>, <Person: u'Viola Davis' (u'nm0205626')>, <Person: u'Melissa Leo' (u'nm0502425')>]	Prisoners	0	1	0	0	0	feature	0	0	0	18	1	1	[]	1	0	0	9180	0
8.5	0	Passed	0	[<Person: u'Charles Brackett' (u'nm0102818')>, <Person: u'Billy Wilder' (u'nm0000697')>]	1950	tt0043014	0	142838	[<Person: u'Billy Wilder' (u'nm0000697')>]	[<Person: u'William Holden' (u'nm0000034')>, <Person: u'Gloria Swanson' (u'nm0841797')>, <Person: u'Erich von Stroheim' (u'nm0002233')>, <Person: u'Nancy Olson' (u'nm0647970')>]	Sunset Blvd.	0	0	0	0	0	feature	0	0	0	7	0	0	[]	1	0	0	6600	0
7	0	R	0	[<Person: u'David Ebershoff' (u'nm2286442')>, <Person: u'Lucinda Coxon' (u'nm0185309')>]	2015	tt0810819	1	93529	[<Person: u'Tom Hooper' (u'nm0393799')>]	[<Person: u'Eddie Redmayne' (u'nm1519666')>, <Person: u'Alicia Vikander' (u'nm2539953')>, <Person: u'Amber Heard' (u'nm1720028')>, <Person: u'Ben Whishaw' (u'nm0924210')>]	The Danish Girl	0	0	1	0	0	feature	0	0	0	5	0	0	[]	1	0	0	7140	0
7.3	0	PG	1	[<Person: u'Steve Conrad' (u'nm0175726')>, <Person: u'Steve Conrad' (u'nm0175726')>]	2013	tt0359950	0	241072	[<Person: u'Ben Stiller' (u'nm0001774')>]	[<Person: u'Ben Stiller' (u'nm0001774')>, <Person: u'Kristen Wiig' (u'nm1325419')>, <Person: u'Jon Daly' (u'nm1789985')>, <Person: u'Kathryn Hahn' (u'nm1063517')>]	The Secret Life of Walter Mitty	0	0	1	0	1	feature	0	0	1	5	0	0	[]	1	0	0	6840	0
7.7	0	PG-13	0	[<Person: u'Grant Nieporte' (u'nm1455356')>]	2008	tt0814314	0	237260	[<Person: u'Gabriele Muccino' (u'nm0610831')>]	[<Person: u'Will Smith' (u'nm0000226')>, <Person: u'Rosario Dawson' (u'nm0206257')>, <Person: u'Woody Harrelson' (u'nm0000437')>, <Person: u'Michael Ealy' (u'nm1013003')>]	Seven Pounds	0	0	1	0	0	feature	0	0	0	4	0	0	[]	1	0	0	7380	0
7.3	0	PG-13	0	[<Person: u'Baz Luhrmann' (u'nm0525303')>, <Person: u'Craig Pearce' (u'nm0668902')>]	2013	tt1343092	0	370813	[<Person: u'Baz Luhrmann' (u'nm0525303')>]	[<Person: u'Leonardo DiCaprio' (u'nm0000138')>, <Person: u'Carey Mulligan' (u'nm1659547')>, <Person: u'Joel Edgerton' (u'nm0249291')>, <Person: u'Tobey Maguire' (u'nm0001497')>]	The Great Gatsby	0	0	1	0	0	feature	0	0	0	7	0	0	[]	1	0	0	8580	0
