rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	R	0	[<Person: u'Richard Linklater' (u'nm0000500')>, <Person: u'Julie Delpy' (u'nm0000365')>]	2004	tt0381681	0	171957	[<Person: u'Richard Linklater' (u'nm0000500')>]	[<Person: u'Ethan Hawke' (u'nm0000160')>, <Person: u'Julie Delpy' (u'nm0000365')>, <Person: u'Vernon Dobtcheff' (u'nm0229943')>, <Person: u'Louise Lemoine Torr\xe8s' (u'nm1566537')>]	Before Sunset	0	0	1	0	0	feature	0	0	0	6	0	0	[]	1	0	0	4800	0
7.8	1	PG	0	[<Person: u'Allan Knee' (u'nm0460632')>, <Person: u'David Magee' (u'nm1341735')>]	2004	tt0308644	1	176310	[<Person: u'Marc Forster' (u'nm0286975')>]	[<Person: u'Johnny Depp' (u'nm0000136')>, <Person: u'Kate Winslet' (u'nm0000701')>, <Person: u'Julie Christie' (u'nm0001046')>, <Person: u'Radha Mitchell' (u'nm0593664')>]	Finding Neverland	0	0	0	0	0	feature	0	0	0	6	0	0	[]	1	0	0	6060	0
6.9	0	R	0	[<Person: u'John A. Russo' (u'nm0751652')>, <Person: u'George A. Romero' (u'nm0001681')>]	1990	tt0100258	0	31475	[<Person: u'Tom Savini' (u'nm0767741')>]	[<Person: u'Tony Todd' (u'nm0865302')>, <Person: u'Patricia Tallman' (u'nm0848191')>, <Person: u'Tom Towles' (u'nm0869981')>, <Person: u'McKee Anderson' (u'nm0027174')>]	Night of the Living Dead	0	0	0	0	0	feature	0	1	0	5	0	0	[]	0	0	0	5160	0
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544029	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	10	0	0	[]	1	0	0	7320	0
8.2	1	TV-PG	1	[<Person: u'Hayao Miyazaki' (u'nm0594503')>, <Person: u'Diana Wynne Jones' (u'nm1168510')>]	2004	tt0347149	0	220900	[<Person: u'Hayao Miyazaki' (u'nm0594503')>]	[<Person: u'Chieko Baish\xf4' (u'nm0047962')>, <Person: u'Takuya Kimura' (u'nm0454120')>, <Person: u'Tatsuya Gash\xfbin' (u'nm0309107')>, <Person: u'Akihiro Miwa' (u'nm0594271')>]	Howl's Moving Castle	0	0	0	0	0	feature	0	0	1	6	0	0	[]	0	0	0	7140	0
7.2	0	TV-MA	0	[<Person: u'Simon Beaufoy' (u'nm0064479')>]	1997	tt0119164	0	83275	[<Person: u'Peter Cattaneo' (u'nm0146341')>]	[<Person: u'Robert Carlyle' (u'nm0001015')>, <Person: u'Tom Wilkinson' (u'nm0929489')>, <Person: u'Mark Addy' (u'nm0004692')>, <Person: u'William Snape' (u'nm0810890')>]	The Full Monty	0	0	0	0	1	feature	0	0	0	5	0	0	[]	1	0	0	5460	0
7.2	0	Unrated	0	[<Person: u'George A. Romero' (u'nm0001681')>]	1985	tt0088993	0	50758	[<Person: u'George A. Romero' (u'nm0001681')>]	[<Person: u'Lori Cardille' (u'nm0136440')>, <Person: u'Terry Alexander' (u'nm0018777')>, <Person: u'Joseph Pilato' (u'nm0683334')>, <Person: u'Jarlath Conroy' (u'nm0175826')>]	Day of the Dead	0	0	0	0	0	feature	0	1	0	12	1	0	[]	1	0	1	5760	0
7.7	0	R	0	[<Person: u'Halsted Welles' (u'nm0919925')>, <Person: u'Michael Brandt' (u'nm0104973')>]	2007	tt0381849	0	241481	[<Person: u'James Mangold' (u'nm0003506')>]	[<Person: u'Russell Crowe' (u'nm0000128')>, <Person: u'Christian Bale' (u'nm0000288')>, <Person: u'Ben Foster' (u'nm0004936')>, <Person: u'Logan Lerman' (u'nm0503567')>]	3:10 to Yuma	0	1	0	0	0	feature	0	0	1	4	0	0	[]	1	0	0	7320	1
7.4	0	PG-13	0	[<Person: u'Christopher McQuarrie' (u'nm0003160')>, <Person: u'Christopher McQuarrie' (u'nm0003160')>]	2015	tt2381249	0	242923	[<Person: u'Christopher McQuarrie' (u'nm0003160')>]	[<Person: u'Tom Cruise' (u'nm0000129')>, <Person: u'Rebecca Ferguson' (u'nm0272581')>, <Person: u'Jeremy Renner' (u'nm0719637')>, <Person: u'Simon Pegg' (u'nm0670408')>]	Mission: Impossible - Rogue Nation	0	0	0	0	0	feature	0	0	1	5	1	0	[]	0	0	1	7860	0
7	0	R	0	[<Person: u'Simon Pegg' (u'nm0670408')>, <Person: u'Edgar Wright' (u'nm0942367')>]	2013	tt1213663	0	190581	[<Person: u'Edgar Wright' (u'nm0942367')>]	[<Person: u'Simon Pegg' (u'nm0670408')>, <Person: u'Nick Frost' (u'nm0296545')>, <Person: u'Martin Freeman' (u'nm0293509')>, <Person: u'Rosamund Pike' (u'nm0683253')>]	The World's End	1	0	0	0	1	feature	0	0	0	46	0	0	[]	0	0	1	6540	0
7.5	0	R	0	[<Person: u'Dario Argento' (u'nm0000783')>, <Person: u'Daria Nicolodi' (u'nm0630453')>]	1977	tt0076786	0	47169	[<Person: u'Dario Argento' (u'nm0000783')>]	[<Person: u'Jessica Harper' (u'nm0363888')>, <Person: u'Stefania Casini' (u'nm0143743')>, <Person: u'Flavio Bucci' (u'nm0117885')>, <Person: u'Miguel Bos\xe9' (u'nm0098395')>]	Suspiria	0	0	0	0	0	feature	0	1	0	4	0	0	[]	0	0	0	5520	0
8.1	1	PG	0	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	2016	tt2948356	0	222030	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	[<Person: u'Ginnifer Goodwin' (u'nm0329481')>, <Person: u'Jason Bateman' (u'nm0000867')>, <Person: u'Idris Elba' (u'nm0252961')>, <Person: u'Jenny Slate' (u'nm2809577')>]	Zootopia	0	1	0	0	1	feature	0	0	1	5	0	1	[]	0	0	0	6480	0
