title,freq
tt1046173,1
tt0381681,3
tt0414993,8
tt0472160,1
tt0308644,2
tt1837703,1
tt0455275,1
tt0020629,1
tt1185416,1
tt2836260,1
tt0442933,1
tt1045658,10
tt0920458,1
tt1971325,1
tt0347149,1
tt0405508,1
tt4226388,2
tt1216520,1
tt0040897,1
tt0875025,1
tt2212008,1
tt0097108,1
tt0405296,2
tt0322589,1
tt0044081,1
tt2056771,1
tt1840417,1
tt0337692,1
tt0381849,3
tt0432348,1
tt1726592,2
tt1374992,1
tt0465494,1
tt0398286,5
tt1527186,5
tt1213663,1
tt0276751,1
tt2193215,2
tt1666186,2
tt0056687,1
tt0097074,1
tt2948356,10
tt0938283,1
tt1041829,3
tt0063350,1
tt0993842,1
tt0993846,60
tt0113497,1
tt1253863,1
tt0071230,1
tt0318034,1
tt0053696,1
tt1391034,1
tt0398842,1
tt0098273,1
tt1438254,1
tt0213847,2
tt1392214,35
tt2402085,1
tt0104952,1
tt0335345,2
tt0480249,11
tt1262416,2
tt0104797,1
tt0031679,1
tt1448755,1
tt0118694,1
tt1637688,7
tt3612616,3
tt0056869,2
tt0043014,2
tt0795351,1
tt0087469,1
tt0230600,10
tt0065345,1
tt0349903,3
tt0376800,1
tt0810819,5
tt0359950,5
tt1650554,1
tt1360860,1
tt0097662,1
tt2543164,3
tt2170593,1
tt0265086,6
tt2547584,1
tt1078588,3
tt0158493,1
tt0069704,1
tt0814314,10
tt1226229,4
tt0106469,1
tt1242522,1
tt1273235,3
tt2561572,1
tt0109897,1
tt1343092,22
tt0111495,1
tt1343097,3
tt0804497,3
tt2310332,4
tt0903624,10
tt0069097,1
tt3170832,15
tt0098051,1
tt0435625,1
tt0450385,4
tt0844471,1
tt1588173,1
tt1588170,3
tt2848292,1
tt1038988,2
tt0480025,2
tt0188568,1
tt0012349,1
tt2582846,6
tt0416449,4
tt0979432,2
tt0365686,3
tt2649554,1
tt0120716,1
tt2532528,1
tt4257926,1
tt1095217,1
tt2409818,1
tt0077651,2
tt0489664,2
tt1512685,1
tt1490017,6
tt0017136,2
tt0111161,63
tt0053416,1
tt2554274,3
tt1411697,1
tt2861424,2
tt0264464,34
tt1937390,4
tt0169547,30
tt1142988,2
tt1808223,1
tt1481572,1
tt0116996,1
tt0930856,1
tt1780798,1
tt0107497,1
tt1368491,1
tt0242653,2
tt1592873,1
tt1190080,3
tt0070379,7
tt1911644,4
tt0405422,1
tt0361309,1
tt2387559,1
tt0330312,1
tt1365050,1
tt4474344,1
tt0462335,1
tt1865505,4
tt0116209,1
tt0119004,3
tt0268978,28
tt2084970,29
tt0449059,7
tt0298130,6
tt0119008,2
tt1486185,2
tt4508902,1
tt1318514,4
tt2277860,1
tt0396707,1
tt2387433,2
tt1547035,1
tt1783232,1
tt0325805,1
tt1255953,12
tt0237572,2
tt0881891,1
tt0079116,1
tt0824758,1
tt2395695,1
tt1706620,3
tt1191111,4
tt0119174,11
tt0104549,1
tt0119177,6
tt0342492,1
tt4302938,1
tt2318625,1
tt1454468,12
tt0129290,2
tt1230385,1
tt0393162,5
tt0800369,3
tt1172991,1
tt1327194,1
tt2106476,15
tt1692486,2
