,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
440,tt1130884,Shutter Island,247,8.1,2010,809015,8280,feature,R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.191056910569,0.14837398374,0.0731707317073,0.607723577236,0.207317073171,0.75406504065,0.658536585366,0.0589430894309,0.197154471545,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,1.0
197,tt1375666,Inception,137,8.8,2010,1505810,8880,feature,PG-13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.547325102881,0.758620689655,1.0,0.243395406917,0.879518072289,-0.808943089431,0.14837398374,0.0731707317073,0.607723577236,-0.792682926829,-0.24593495935,0.658536585366,0.0589430894309,-0.802845528455,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,0.0
53,tt0137523,Fight Club,96,8.8,1999,1381082,8340,feature,TV-MA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.378600823045,0.758620689655,0.840579710145,0.378829469569,0.987951807229,0.191056910569,0.14837398374,0.0731707317073,-0.392276422764,0.207317073171,-0.24593495935,-0.341463414634,0.0589430894309,0.197154471545,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,0.0
296,tt0209144,Memento,76,8.5,2000,865484,6780,feature,R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.296296296296,0.862068965517,0.855072463768,0.938683967642,0.698795180723,0.191056910569,0.14837398374,0.0731707317073,0.607723577236,0.207317073171,0.75406504065,0.658536585366,0.0589430894309,0.197154471545,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,1.0
185,tt0114369,Se7en,71,8.6,1995,1050269,7620,feature,R,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.275720164609,0.827586206897,0.782608695652,0.738037895651,0.867469879518,0.191056910569,0.14837398374,0.0731707317073,0.607723577236,0.207317073171,0.75406504065,-0.341463414634,0.0589430894309,0.197154471545,-0.768292682927,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,1.0
419,tt0816692,Interstellar,69,8.6,2014,967487,10140,feature,PG-13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.267489711934,0.827586206897,0.942028985507,0.8279255117,0.626506024096,0.191056910569,0.14837398374,0.0731707317073,-0.392276422764,-0.792682926829,-0.24593495935,-0.341463414634,0.0589430894309,-0.802845528455,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,0.0
271,tt0482571,The Prestige,67,8.5,2006,866863,7800,feature,PG-13,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.259259259259,0.862068965517,0.942028985507,0.937186600793,0.903614457831,0.191056910569,0.14837398374,0.0731707317073,0.607723577236,0.207317073171,0.75406504065,-0.341463414634,0.0589430894309,-0.802845528455,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,0.0
208,tt0407887,The Departed,63,8.5,2006,894706,9060,feature,R,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.242798353909,0.862068965517,0.942028985507,0.906953689125,0.843373493976,0.191056910569,0.14837398374,0.0731707317073,0.607723577236,0.207317073171,-0.24593495935,-0.341463414634,0.0589430894309,0.197154471545,-0.768292682927,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,1.0
23,tt0111161,The Shawshank Redemption,63,9.3,1994,1729965,8520,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.242798353909,0.586206896552,0.768115942029,0.0,0.951807228916,0.191056910569,0.14837398374,0.0731707317073,-0.392276422764,0.207317073171,-0.24593495935,-0.341463414634,0.0589430894309,0.197154471545,-0.768292682927,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,1.0
294,tt0109830,Forrest Gump,60,8.8,1994,1286119,8520,feature,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.230452674897,0.758620689655,0.768115942029,0.481943645149,0.951807228916,0.191056910569,-0.85162601626,0.0731707317073,-0.392276422764,0.207317073171,-0.24593495935,-0.341463414634,0.0589430894309,0.197154471545,0.231707317073,0.162601626016,0.0121951219512,0.0142276422764,0.0467479674797,0.0813008130081,0.121951219512,0.0508130081301,1.0,0.0
