rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.3	0	PG-13	0	[<Person: u'Darren Aronofsky' (u'nm0004716')>, <Person: u'Darren Aronofsky' (u'nm0004716')>]	2006	tt0414993	0	193882	[<Person: u'Darren Aronofsky' (u'nm0004716')>]	[<Person: u'Hugh Jackman' (u'nm0413168')>, <Person: u'Rachel Weisz' (u'nm0001838')>, <Person: u'Sean Patrick Thomas' (u'nm0859503')>, <Person: u'Ellen Burstyn' (u'nm0000995')>]	The Fountain	1	0	0	0	0	feature	0	0	0	8	0	0	[]	1	0	0	5760	0
7.8	0	R	0	[<Person: u'David O. Russell' (u'nm0751102')>, <Person: u'Matthew Quick' (u'nm2683048')>]	2012	tt1045658	0	544020	[<Person: u'David O. Russell' (u'nm0751102')>]	[<Person: u'Bradley Cooper' (u'nm0177896')>, <Person: u'Jennifer Lawrence' (u'nm2225369')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Jacki Weaver' (u'nm0915865')>]	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	10	0	0	[]	1	0	0	7320	0
7.8	1	PG	1	[<Person: u'Dan Fogelman' (u'nm1557594')>, <Person: u'Jacob Grimm' (u'nm0342278')>]	2010	tt0398286	0	301654	[<Person: u'Nathan Greno' (u'nm1977355')>, <Person: u'Byron Howard' (u'nm0397174')>]	[<Person: u'Mandy Moore' (u'nm0601553')>, <Person: u'Zachary Levi' (u'nm1157048')>, <Person: u'Donna Murphy' (u'nm0614220')>, <Person: u'Ron Perlman' (u'nm0000579')>]	Tangled	0	0	1	0	1	feature	0	0	1	5	0	0	[]	0	0	0	6000	0
7.1	0	R	0	[<Person: u'Lars von Trier' (u'nm0001885')>]	2011	tt1527186	0	131746	[<Person: u'Lars von Trier' (u'nm0001885')>]	[<Person: u'Kirsten Dunst' (u'nm0000379')>, <Person: u'Charlotte Gainsbourg' (u'nm0001250')>, <Person: u'Kiefer Sutherland' (u'nm0000662')>, <Person: u'Alexander Skarsg\xe5rd' (u'nm0002907')>]	Melancholia	0	0	0	0	0	feature	0	0	0	5	0	0	[]	1	0	0	8100	0
8.1	1	PG	0	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	2016	tt2948356	0	222006	[<Person: u'Byron Howard' (u'nm0397174')>, <Person: u'Rich Moore' (u'nm0601781')>]	[<Person: u'Ginnifer Goodwin' (u'nm0329481')>, <Person: u'Jason Bateman' (u'nm0000867')>, <Person: u'Idris Elba' (u'nm0252961')>, <Person: u'Jenny Slate' (u'nm2809577')>]	Zootopia	0	1	0	0	1	feature	0	0	1	10	0	1	[]	0	0	0	6480	0
8.2	0	R	0	[<Person: u'Terence Winter' (u'nm1010540')>, <Person: u'Jordan Belfort' (u'nm0067789')>]	2013	tt0993846	1	809405	[<Person: u'Martin Scorsese' (u'nm0000217')>]	[<Person: u'Leonardo DiCaprio' (u'nm0000138')>, <Person: u'Jonah Hill' (u'nm1706767')>, <Person: u'Margot Robbie' (u'nm3053338')>, <Person: u'Matthew McConaughey' (u'nm0000190')>]	The Wolf of Wall Street	0	1	0	0	1	feature	0	0	0	60	0	0	[]	1	0	0	10800	0
8.1	0	R	0	[<Person: u'Aaron Guzikowski' (u'nm3360706')>]	2013	tt1392214	0	399003	[<Person: u'Denis Villeneuve' (u'nm0898288')>]	[<Person: u'Hugh Jackman' (u'nm0413168')>, <Person: u'Jake Gyllenhaal' (u'nm0350453')>, <Person: u'Viola Davis' (u'nm0205626')>, <Person: u'Melissa Leo' (u'nm0502425')>]	Prisoners	0	1	0	0	0	feature	0	0	0	35	1	1	[]	1	0	0	9180	0
7.2	0	PG-13	0	[<Person: u'Mark Protosevich' (u'nm0698873')>, <Person: u'Akiva Goldsman' (u'nm0326040')>]	2007	tt0480249	0	542171	[<Person: u'Francis Lawrence' (u'nm1349376')>]	[<Person: u'Will Smith' (u'nm0000226')>, <Person: u'Alice Braga' (u'nm0103797')>, <Person: u'Charlie Tahan' (u'nm2253071')>, <Person: u'Salli Richardson-Whitfield' (u'nm0724757')>]	I Am Legend	1	0	0	0	0	feature	0	1	0	11	0	0	[]	1	0	0	6060	0
6.7	0	PG-13	0	[<Person: u'Andrew Niccol' (u'nm0629272')>]	2011	tt1637688	0	309990	[<Person: u'Andrew Niccol' (u'nm0629272')>]	[<Person: u'Justin Timberlake' (u'nm0005493')>, <Person: u'Amanda Seyfried' (u'nm1086543')>, <Person: u'Cillian Murphy' (u'nm0614165')>, <Person: u'Olivia Wilde' (u'nm1312575')>]	In Time	1	0	0	0	0	feature	0	0	0	7	1	0	[]	0	0	1	6540	0
7.6	0	PG-13	0	[<Person: u'Alejandro Amen\xe1bar' (u'nm0024622')>]	2001	tt0230600	0	273759	[<Person: u'Alejandro Amen\xe1bar' (u'nm0024622')>]	[<Person: u'Nicole Kidman' (u'nm0000173')>, <Person: u'Christopher Eccleston' (u'nm0001172')>, <Person: u'Fionnula Flanagan' (u'nm0001217')>, <Person: u'Alakina Mann' (u'nm0542635')>]	The Others	0	0	0	0	0	feature	0	1	0	10	1	0	[]	0	0	0	6240	0
