,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,cast_summary,writers_summary,directors_summary,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_cast_summary,adj_writers_summary,adj_directors_summary,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
448,tt2096673,Inside Out,250,8.2,2015,372928.0,5700.0,feature,PG,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,Amy Poehler|Bill Hader|Lewis Black|Mindy Kaling,Pete Docter|Ronnie Del Carmen,Pete Docter|Ronnie Del Carmen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,1.0
550,tt1663202,The Revenant,73,8.0,2015,449972.0,9360.0,feature,R,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson,Mark L. Smith|Alejandro G. Iñárritu,Alejandro G. Iñárritu,0.283400809717,0.951219512195,1.0,0.943351832735,0.573426573427,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,-0.787878787879,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,-0.980303030303,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
61,tt3659388,The Martian,67,8.0,2015,513805.0,8640.0,feature,PG-13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Matt Damon|Jessica Chastain|Kristen Wiig|Kate Mara,Drew Goddard|Andy Weir,Ridley Scott,0.259109311741,0.951219512195,1.0,0.896417321793,0.657342657343,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
447,tt1392190,Mad Max: Fury Road,67,8.1,2015,583740.0,7200.0,feature,R,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Tom Hardy|Charlize Theron|Nicholas Hoult|Zoë Kravitz,George Miller|Brendan McCarthy,George Miller,0.259109311741,0.975609756098,1.0,0.8449961913,0.825174825175,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,-0.787878787879,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
77,tt2488496,Star Wars: The Force Awakens,67,8.2,2015,600714.0,8160.0,feature,PG-13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Daisy Ridley|John Boyega|Oscar Isaac|Domhnall Gleeson,Lawrence Kasdan|J.J. Abrams,J.J. Abrams,0.259109311741,1.0,1.0,0.832515712727,0.713286713287,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,-0.278787878788,1.0,0.0
10,tt2948356,Zootopia,61,8.1,2016,224947.0,6480.0,feature,PG,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,Ginnifer Goodwin|Jason Bateman|Idris Elba|Jenny Slate,Byron Howard|Rich Moore,Byron Howard|Rich Moore,0.234817813765,0.975609756098,0.988764044944,0.891193961372,0.909090909091,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,-0.880303030303,-0.486363636364,0.0681818181818,0.201515151515,-0.874242424242,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,1.0
225,tt1049413,Up,58,8.3,2009,686019.0,5760.0,feature,PG,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Edward Asner|Jordan Nagai|John Ratzenberger|Christopher Plummer,Pete Docter|Bob Peterson,Pete Docter|Bob Peterson,0.222672064777,0.975609756098,0.932584269663,0.76979347727,0.993006993007,0.0,0.5,0.5,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,1.0
360,tt0470752,Ex Machina,55,7.7,2015,308288.0,6480.0,feature,R,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,Alicia Vikander|Domhnall Gleeson|Oscar Isaac|Sonoya Mizuno,Alex Garland,Alex Garland,0.210526315789,0.878048780488,1.0,0.952472125902,0.909090909091,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,-0.787878787879,-0.413636363636,-0.880303030303,0.513636363636,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
628,tt0266543,Finding Nemo,53,8.2,2003,713828.0,6000.0,feature,G,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe,Andrew Stanton|Andrew Stanton,Andrew Stanton|Lee Unkrich,0.202429149798,1.0,0.865168539326,0.749346344677,0.965034965035,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,0.0
613,tt3460252,The Hateful Eight,50,7.9,2015,299434.0,10020.0,feature,R,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins,Quentin Tarantino,Quentin Tarantino,0.19028340081,0.926829268293,1.0,0.945962042405,0.496503496503,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,-0.787878787879,-0.413636363636,-0.880303030303,0.513636363636,0.0681818181818,0.201515151515,-0.874242424242,0.163636363636,0.0318181818182,-0.980303030303,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
