rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	R	0	Richard Linklater|Julie Delpy	2004	tt0381681	0	172190	Richard Linklater	Ethan Hawke|Julie Delpy|Vernon Dobtcheff|Louise Lemoine Torrès	Before Sunset	0	0	1	0	0	feature	0	0	0	6	0	0	[]	1	0	0	4800	0
7.8	0	R	0	David O. Russell|Matthew Quick	2012	tt1045658	0	544783	David O. Russell	Bradley Cooper|Jennifer Lawrence|Robert De Niro|Jacki Weaver	Silver Linings Playbook	0	0	1	0	1	feature	0	0	0	5	0	0	[]	1	0	0	7320	0
8.2	1	TV-PG	1	Hayao Miyazaki|Diana Wynne Jones	2004	tt0347149	0	221364	Hayao Miyazaki	Chieko Baishô|Takuya Kimura|Tatsuya Gashûin|Akihiro Miwa	Howl's Moving Castle	0	0	0	0	0	feature	0	0	1	13	0	0	[]	0	0	0	7140	0
7.7	0	16	0	Sebastian Schipper|Olivia Neergaard-Holm	2015	tt4226388	0	29435	Sebastian Schipper	Laia Costa|Frederick Lau|Franz Rogowski|Burak Yigit	Victoria	0	1	1	0	0	feature	0	0	0	8	1	0	[]	1	0	0	8280	0
6.4	1	G	0	Don Rhymer|Carlos Kotkin	2014	tt2357291	0	60119	Carlos Saldanha	Jesse Eisenberg|Anne Hathaway|Jemaine Clement|Andy Garcia	Rio 2	0	0	0	0	1	feature	0	0	1	7	0	0	[]	0	0	0	6060	0
5.7	0	R	0	Alejandro Amenábar	2015	tt3319920	0	23086	Alejandro Amenábar	Ethan Hawke|David Thewlis|Emma Watson|Dale Dickey	Regression	0	1	0	0	0	feature	0	0	0	5	1	1	[]	1	0	0	6360	0
6.7	0	PG-13	0	Mark Bomback|Scott Frank	2013	tt1430132	0	335210	James Mangold	Hugh Jackman|Will Yun Lee|Tao Okamoto|Rila Fukushima	The Wolverine	1	0	0	0	0	feature	0	0	1	3	1	0	[]	0	0	1	7560	0
7.8	1	PG	1	Dan Fogelman|Jacob Grimm	2010	tt0398286	0	302189	Nathan Greno|Byron Howard	Mandy Moore|Zachary Levi|Donna Murphy|Ron Perlman	Tangled	0	0	1	0	1	feature	0	0	1	30	0	0	[]	0	0	0	6000	0
6.5	1	PG	0	Darren Lemke|Robert D. Siegel	2013	tt1860353	0	63664	David Soren	Ryan Reynolds|Paul Giamatti|Maya Rudolph|Samuel L. Jackson	Turbo	1	0	0	0	1	feature	0	0	1	4	0	0	[]	0	0	0	5760	0
7.4	0	PG-13	0	Christopher McQuarrie|Christopher McQuarrie	2015	tt2381249	0	243483	Christopher McQuarrie	Tom Cruise|Rebecca Ferguson|Jeremy Renner|Simon Pegg	Mission: Impossible - Rogue Nation	0	0	0	0	0	feature	0	0	1	30	1	0	[]	0	0	1	7860	0
